pwsid,contaminant,unit,sample_location,sample_period,result_kind,minimum,average,maximum,percentile_90,comparison_value,benchmark_type,benchmark_value,source_page
TX1010013,Arsenic,ppb,water plants,2025,range,0,1.7,6.7,,6.7,MCL,10,7
TX1010013,Nitrate,ppm,distribution system,2025,range,0,0.35,1.40,,1.40,MCL,10,8
TX1010013,Haloacetic Acids,ppb,distribution system,2025,LRAA,,,55.9,,40.8,MCL,60,8
TX1010013,Total Trihalomethanes,ppb,distribution system,2025,LRAA,,,47.7,,43.6,MCL,80,8
TX1010013,Lead,ppb,customer taps,2025,90th_percentile,,,,5.1,5.1,Action Level,15,8
TX1010013,Copper,ppm,customer taps,2025,90th_percentile,,,,0.22,0.22,Action Level,1.3,8
TX1010013,Lithium,ppb,water system,Feb-Aug 2024,range,13.7,23.8,33.9,,33.9,,,9
TX1010013,Total Hardness as CaCO3,ppm,water system,2025,range,43.5,135.5,229,,229,,,9
TX1010348,Nitrate,ppm,water plants,2025,range,0,0.01,0.08,,0.08,MCL,10,10
TX1010348,Haloacetic Acids,ppb,distribution system,2025,LRAA,,,6.7,,2.2,MCL,60,10
TX1010348,Total Trihalomethanes,ppb,distribution system,2025,LRAA,,,15.1,,3.8,MCL,80,10
TX1010348,Lead,ppb,customer taps,2023,90th_percentile,,,,2,2,Action Level,15,11
TX1010348,Copper,ppm,customer taps,2023,90th_percentile,,,,0.218,0.218,Action Level,1.3,11
TX1010348,Lithium,ppb,water system,June 2024,range,12.1,14.8,17.5,,17.5,,,11
TX1010348,Total Hardness as CaCO3,ppm,water system,reduced monitoring,single_result,,124,,,124,,,11
TX1011902,Arsenic,ppb,water plants,2025,range,2.1,2.2,2.3,,2.3,MCL,10,12
TX1011902,Nitrate,ppm,water plants,2025,range,0.22,0.27,0.37,,0.37,MCL,10,12
TX1011902,Haloacetic Acids,ppb,distribution system,2025,LRAA,0,,1.4,,0.35,MCL,60,12
TX1011902,Total Trihalomethanes,ppb,distribution system,2025,LRAA,0,,8.8,,3.48,MCL,80,12
TX1011902,Lead,ppb,customer taps,2023,90th_percentile,,,,1,1,Action Level,15,13
TX1011902,Copper,ppm,customer taps,2023,90th_percentile,,,,0.05,0.05,Action Level,1.3,13
TX1011902,Lithium,ppb,water system,Jan-Jul 2024,range,10.9,12.3,13.8,,13.8,,,13
TX1011902,Total Hardness as CaCO3,ppm,water system,2025,range,160,163.5,167,,167,,,13
TX1011585,Arsenic,ppb,water plants,2025,single_result,,2.3,,,2.3,MCL,10,14
TX1011585,Haloacetic Acids,ppb,distribution system,2025,not_detected,0,0,0,,0,MCL,60,14
TX1011585,Total Trihalomethanes,ppb,distribution system,2025,LRAA,0,,3.3,,3.3,MCL,80,14
TX1011585,Lead,ppb,customer taps,2024,90th_percentile,,,,3.2,3.2,Action Level,15,15
TX1011585,Copper,ppm,customer taps,2024,90th_percentile,,,,0.143,0.143,Action Level,1.3,15
TX1011585,Lithium,ppb,water system,June 2024,range,13.1,13.3,13.4,,13.4,,,15
TX1011585,Total Hardness as CaCO3,ppm,water system,reduced monitoring,single_result,,97.4,,,97.4,,,15
TX1011593,Haloacetic Acids,ppb,distribution system,2025,LRAA,0,,1.5,,1.5,MCL,60,16
TX1011593,Total Trihalomethanes,ppb,distribution system,2025,LRAA,0,,6.4,,15.6,MCL,80,16
TX1011593,Lead,ppb,customer taps,2025,90th_percentile,,,,1.6,1.6,Action Level,15,16
TX1011593,Copper,ppm,customer taps,2025,90th_percentile,,,,0.06,0.06,Action Level,1.3,16
TX1011593,Total Hardness as CaCO3,ppm,water system,2024,single_result,,107,,,107,,,17
TX1011594,Arsenic,ppb,water plants,2025,single_result,,3.6,,,3.6,MCL,10,18
TX1011594,Nitrate,ppm,distribution system,2025,range,0.34,0.43,0.52,,0.52,MCL,10,18
TX1011594,Haloacetic Acids,ppb,distribution system,2025,LRAA,,,2.8,,12.8,MCL,60,18
TX1011594,Total Trihalomethanes,ppb,distribution system,2025,LRAA,,,14.3,,14.3,MCL,80,18
TX1011594,Lead,ppb,customer taps,2023,90th_percentile,,,,7.8,7.8,Action Level,15,19
TX1011594,Copper,ppm,customer taps,2023,90th_percentile,,,,0.37,0.37,Action Level,1.3,19
TX1011594,Total Hardness as CaCO3,ppm,water system,2023,single_result,,129,,,129,,,19
