pwsid,report_year,data_year,contaminant,unit,sample_scope,statistic_type,result_text,minimum,average,maximum,percentile_90,comparison_value,benchmark_type,benchmark_value,violation,source_page,notes
TX1010013,2025,2025,Arsenic,ppb,water plants,range,ND to 6.7,0,1.7,6.7,,6.7,MCL,10,no,7,
TX1010013,2025,2025,Nitrate,ppm,distribution system,range,ND to 1.40,0,0.35,1.4,,1.4,MCL,10,no,8,
TX1010013,2025,2025,Haloacetic Acids,ppb,distribution system,highest LRAA,Highest LRAA 40.8; samples ND to 55.9,0,,55.9,,40.8,MCL,60,no,8,
TX1010013,2025,2025,Total Trihalomethanes,ppb,distribution system,highest LRAA,Highest LRAA 43.6; samples ND to 47.7,0,,47.7,,43.6,MCL,80,no,8,
TX1010013,2025,2025,Lead,ppb,customer taps,90th percentile,90% below 5.1; no samples above 15,,,,5.1,5.1,Action Level,15,no,8,
TX1010013,2025,2025,Copper,ppm,customer taps,90th percentile,90% below 0.22; no samples above 1.3,,,,0.22,0.22,Action Level,1.3,no,8,
TX1010013,2025,2025,Total Hardness as CaCO3,ppm,water system,range,43.5 to 229,43.5,135.5,229,,,,,not_applicable,9,
TX1010013,2025,2024,Lithium,ppb,water system,range,13.7 to 33.9,13.7,23.8,33.9,,,,,not_applicable,9,
CA1910067,2025,2024,Arsenic,ppb,treated source waters,highest average across sources,"Highest reported source average 3.5; source ranges <2 to 8.4",0,3.5,8.4,,3.5,MCL,10,no,18,"Values differ by LADWP and imported-water sources; comparison uses the highest reported average, not the sample maximum."
CA1910067,2025,2024,Fluoride,ppm,treated source waters,range,"Source averages 0.7 to 0.8; overall observed range 0.3 to 0.9",0.3,,0.9,,0.8,MCL,2,no,18,
CA1910067,2025,2024,Nitrate as nitrogen,ppm,treated source waters,highest average across sources,"Highest reported source average 0.5; observed maximum 2.4",0,0.5,2.4,,0.5,MCL,10,no,18,"Less-than reporting limits are represented as zero only for the numeric minimum; original qualifiers remain in result_text."
CA1910067,2025,2024,Chlorine Residual Total,ppm,distribution system,highest running annual average,"HRAA 1.9; range 1.7 to 2.0",1.7,,2,,1.9,MRDL,4,no,19,
CA1910067,2025,2023,Lead,ppb,customer taps,90th percentile,"90th percentile <5; 3 of 105 samples exceeded action level",,,,5,5,Action Level,15,no,19,"Most recent monitoring was 2023; numeric comparison conservatively stores the reported upper bound of <5 as 5."
CA1910067,2025,2023,Copper,ppb,customer taps,90th percentile,"90th percentile 529; 0 of 105 samples exceeded action level",,,,529,529,Action Level,1300,no,19,"Most recent monitoring was 2023."
CA1910067,2025,2024,Haloacetic Acids,ppb,distribution system,highest LRAA,"Highest LRAA 14.9; range 3.6 to 16.3",3.6,,16.3,,14.9,MCL,60,no,19,
CA1910067,2025,2024,Total Trihalomethanes,ppb,distribution system,highest LRAA,"Highest LRAA 34.4; range 13.9 to 35.8",13.9,,35.8,,34.4,MCL,80,no,19,
AZ0407025,2025,2025,Chlorine,ppm,distribution system,running annual average,"Running annual average 0.84; samples <0.24 to 1.9",0.24,0.84,1.9,,0.84,MRDL,4,no,3,"Minimum is the reported upper bound for <0.24."
AZ0407025,2025,2025,Haloacetic Acids,ppb,distribution system,highest LRAA,"Highest LRAA 17; samples 0.6 to 26",0.6,,26,,17,MCL,60,no,3,
AZ0407025,2025,2025,Total Trihalomethanes,ppb,distribution system,highest LRAA,"Highest LRAA 49; samples 4 to 68",4,,68,,49,MCL,80,no,3,
AZ0407025,2025,2024,Lead,ppb,customer taps,90th percentile,"90th percentile 3; 2 of 56 sites above action level",0,,41.8,3,3,Action Level,15,no,5,"No lead/copper monitoring was required in 2025; ND is represented as zero only in numeric minimum."
AZ0407025,2025,2024,Copper,ppm,customer taps,90th percentile,"90th percentile 0.3; 0 of 56 sites above action level",0.04,,0.5,0.3,0.3,Action Level,1.3,no,5,"No lead/copper monitoring was required in 2025."
AZ0407025,2025,2025,Total Dissolved Solids,ppm,distribution system,range,464 to 716,464,,716,,,Secondary Guideline,500,not_applicable,4,"Aesthetic secondary guideline; not a health-based MCL and no compliance comparison is assigned."
AZ0407025,2025,2025,Total Hardness,ppm,distribution system,range,"172 to 302 ppm; 10 to 17.6 grains/gallon",172,,302,,,,,not_applicable,4,
AZ0407025,2025,2025,Total Coliform E. coli and Chlorine Monitoring,not_applicable,distribution system,monitoring completeness,"359 of 360 required routine samples collected in May 2025; no E. coli found and chlorine within EPA limits",359,,360,,,,,yes,1,"Monitoring violation: six repeat verification samples were mistakenly counted; report states the incident posed no health risk."
PA1510001,2024,2022,Lead,ppb,customer taps,90th percentile,"90th percentile 2.0; 3 of 104 homes elevated; range 0 to 102",0,,102,2,2,Action Level,15,no,19,"Most recent required tap sampling was 2022; this is not a result for an individual address."
PA1510001,2024,2022,Copper,ppm,customer taps,90th percentile,"90th percentile 0.219; 0 of 104 homes elevated; range 0.006 to 0.399",0.006,,0.399,0.219,0.219,Action Level,1.3,no,19,"Most recent required tap sampling was 2022."
PA1510001,2024,2024,Fluoride,ppm,water system,highest result,"Highest result 0.624; range 0.619 to 0.624",0.619,,0.624,,0.624,MCL,2,no,19,"Pennsylvania's 2 ppm MCL shown in report takes precedence over federal 4 ppm MCL."
PA1510001,2024,2024,Nitrate,ppm,water system,highest result,"Highest result 4.52; range 0.92 to 4.52",0.92,,4.52,,4.52,MCL,10,no,19,
PA1510001,2024,2024,Total Chlorine Residual,ppm,distribution system,highest monthly average,"Highest monthly average 2.33; monthly averages 1.73 to 2.33",1.73,,2.33,,2.33,MRDL,4,no,20,
PA1510001,2024,2024,Total Trihalomethanes,ppb,distribution system,highest LRAA,"Highest LRAA 51; samples 14 to 76",14,,76,,51,MCL,80,no,21,"Report also discloses late reporting in March 2024; all results were within regulatory limits."
PA1510001,2024,2024,Haloacetic Acids,ppb,distribution system,highest LRAA,"Highest LRAA 43; samples 16 to 52",16,,52,,43,MCL,60,no,21,"One Northwest Philadelphia location had a Q2 TCAA average of 25.2 ppb above the 20 ppb lifetime health advisory; customers were notified."
PA1510001,2024,2024,PFOA,ppt,water system,highest result,"Highest result 7.3; range 2.5 to 7.3",2.5,,7.3,,7.3,PA DEP MCL,14,no,22,"2024 compliance was evaluated against Pennsylvania's then-applicable 14 ppt MCL; federal 4 ppt compliance begins later per report."
PA1510001,2024,2024,PFOS,ppt,water system,highest result,"Highest result 5.5; range 0 to 5.5",0,,5.5,,5.5,PA DEP MCL,18,no,22,"2024 compliance was evaluated against Pennsylvania's then-applicable 18 ppt MCL; federal 4 ppt compliance begins later per report."
FL4130871,2025,2025,Total Trihalomethanes,ppb,main distribution system,highest LRAA,"Highest LRAA 50; samples 9 to 59",9,,59,,50,MCL,80,no,8,
FL4130871,2025,2025,Haloacetic Acids,ppb,main distribution system,highest LRAA,"Highest LRAA 34; samples 10 to 43",10,,43,,34,MCL,60,no,8,
FL4130871,2025,2025,Chloramines,ppm,main distribution system,running annual average,"Annual average 2.5; samples ND to 4.0",0,2.5,4,,2.5,MRDL,4,no,8,
FL4130871,2025,2025,Arsenic,ppb,main system,highest result,"Highest result 1; range 0.6 to 1",0.6,,1,,1,MCL,10,no,8,
FL4130871,2025,2025,Copper,ppm,main-system customer taps,90th percentile,"90th percentile 0.07; 0 of 102 homes exceeded action level",,,,0.07,0.07,Action Level,1.3,no,8,
FL4130871,2025,2025,Lead,ppb,main-system customer taps,90th percentile,"90th percentile 3.2; 1 of 102 homes exceeded action level",,,,3.2,3.2,Action Level,15,no,8,
FL4130871,2025,2025,Fluoride,ppm,main system,highest result,"Highest result 1; range 0.1 to 1",0.1,,1,,1,MCL,4,no,8,"Main-system fluoridation stopped June 6 2025; subsequent naturally occurring concentrations were 0.1 to 0.3 ppm."
FL4130871,2025,2025,Nitrate as nitrogen,ppm,main system,highest result,"Highest result 0.3; range 0.01 to 0.3",0.01,,0.3,,0.3,MCL,10,no,8,
