pwsid,system_name,report_year,data_year,report_url,landing_page_url,publisher,document_format,extraction_status,validation_status,notes
TX1010013,City of Houston Main System,2025,2025,https://www.houstonpublicworks.org/sites/g/files/nwywnm456/files/doc/003_2025_houston_water_quality_report.pdf,https://www.houstonpublicworks.org/drinking-water-quality-report,Houston Public Works,pdf,normalized,validated,"Report includes six Houston systems; this registry row and measurements represent the Main System only."
DC0000002,D.C. Water and Sewer Authority,2025,2024,https://www.dcwater.com/sites/default/files/document/2025-06/documents/2025_CCR_FINAL.pdf,https://www.dcwater.com/node/40389,DC Water,pdf,normalized,validated,"Report published in 2025 and primarily reports 2024 monitoring data."
NY7003493,New York City System,2025,2025,https://www.nyc.gov/assets/dep/downloads/pdf/water/drinking-water/drinking-water-supply-quality-report/2025-drinking-water-supply-quality-report.pdf,https://www.nyc.gov/site/dep/about/drinking-water-supply-quality-report.page,New York City Department of Environmental Protection,pdf,normalized,validated,"Report tables cover Catskill/Delaware and Croton supplies and distribution monitoring."
CA3810011,SFPUC City Distribution Division,2025,2025,https://www.sfpuc.gov/sites/default/files/accounts-and-services/water-quality/water-quality-en-SF-2025.pdf,https://www.sfpuc.gov/accounts-services/water-quality/annual-triennial-water-quality-reports,San Francisco Public Utilities Commission,pdf,normalized,validated,"Main San Francisco Water System table; local-groundwater subtable is not merged into the main-system statistics."
CA1910067,"Los Angeles-City, Department of Water & Power",2025,2024,https://acquia.ladwp.com/sites/default/files/2025-07/2025_BOOKLETS_2024_DWQR_E_digital_0.pdf,https://www.ladwp.com/who-we-are/water-system/las-drinking-water-quality-report,Los Angeles Department of Water and Power,pdf,normalized,validated,"2025 report containing calendar-year 2024 results; source-specific values are preserved as ranges or report-wide maxima where appropriate."
AZ0407025,City of Phoenix,2025,2025,https://www.phoenix.gov/content/dam/phoenix/waterservicessite/documents/wsdprimarywqr.pdf,https://www.phoenix.gov/administration/departments/waterservices/water-quality/water-quality-reports.html,City of Phoenix Water Services Department,pdf,normalized,validated,"2025 results except lead/copper, whose most recent required monitoring was 2024; May 2025 monitoring violation is preserved in a dedicated record."
PA1510001,Philadelphia Water Department,2024,2024,https://water.phila.gov/wp-content/uploads/files/2024-pwd-water-quality-report.pdf,https://water.phila.gov/quality/,Philadelphia Water Department,pdf,normalized,validated,"2024 report published in 2025; includes a localized TCAA health-advisory exceedance and administrative/monitoring notices preserved in notes."
FL4130871,Miami-Dade Water and Sewer Department Main System,2025,2025,https://www.miamidade.gov/resources/water/documents/2025-water-quality-report.pdf,https://wwwx.miamidade.gov/global/water/water-quality-reports.page,Miami-Dade Water and Sewer Department,pdf,normalized,validated,"Registry measurements use the Main System column only; the report also contains separate South Dade, NMB Water, and REDAVO columns."
TX0150018,San Antonio Water System Main System,2025,2024,https://www.saws.org/wp-content/uploads/2025/05/264601.0150018_SAWS_Main.pdf,https://www.saws.org/your-water/water-quality/download-water-quality-reports/,San Antonio Water System,pdf,normalized,validated,"Main-system results only; separately purchased-water systems in the report are not merged into SAWS Main statistics."
MD0300002,Baltimore City Department of Public Works,2025,2024,https://publicworks.baltimorecity.gov/waterreport,https://publicworks.baltimorecity.gov/waterreport,Baltimore City Department of Public Works,pdf,normalized,validated,"Report covers January through December 2024 and presents Ashburton and Montebello treatment-plant results separately."
